123456789012345, Dupont, Jean, 1980-01-01, 0612345678, jean.dupont@example.com, 1, S001, 100.00
987654321098765, Martin, Alice, 1990-05-15, 0698765432, alice.martin@example.com, 2, S002, 200.50
123123123123123, Bernard, Paul, 1985-03-20, 0687654321, paul.bernard@example.com, 3, S003, 150.75
321321321321321, Richard, Marie, 1978-07-12, 0676543210, marie.richard@example.com, 4, S004, 220.00
654654654654654, Lefevre, Louis, 1982-09-30, 0665432109, louis.lefevre@example.com, 5, S005, 180.00
789789789789789, Dubois, Sophie, 1991-11-10, 0654321098, sophie.dubois@example.com, 6, S006, 175.50
456456456456456, Moreau, Pierre, 1983-05-05, 0643210987, pierre.moreau@example.com, 7, S007, 210.25
987987987987987, Laurent, Claire, 1988-03-15, 0632109876, claire.laurent@example.com, 8, S008, 130.75
321654987123456, Fournier, Lucas, 1977-02-25, 0621098765, lucas.fournier@example.com, 9, S009, 199.99
654987321456789, Lambert, Julie, 1989-08-18, 0610987654, julie.lambert@example.com, 10, S010, 145.00

